cand_id,number_of_contributions,total_contributions
H0AL02087,148,265237
H0AL05163,73,126055
H0AL07086,346,623645
H0AR01083,101,168616
H0AR03055,167,279616
H0AZ01184,1,5000
H0AZ01259,58,94610
H0AZ03388,1,3500
H0CA03078,416,5083840
H0CA10073,66,110020
H0CA10149,148,269241
H0CA10214,26,359445
H0CA11337,4,218
H0CA15148,219,747083
H0CA19173,525,2055238
H0CA27085,100,157710
H0CA32101,106,194660
H0CA33117,80,136570
H0CA48024,298,1065682
H0CA49055,82,141520
H0CO04122,2,3500
H0CT02140,4,1057
H0CT03072,133,253786
H0DC00058,50,97500
H0DE01017,21,7400
H0FL02086,43,103500
H0FL04066,122,68750
H0FL05139,5,1000
H0FL06061,1,500
H0FL08042,1,2500
H0FL08208,44,73450
H0FL12101,197,332582
H0FL17068,68,112158
H0FL18025,134,365577
H0FL19080,55,115500
H0GA02241,2,3500
H0GA07125,45,73362
H0GA07133,108,183064
H0GA08099,137,222116
H0GA09030,202,316661
H0GA13032,12,7985
H0HI01116,1,104
H0HI01165,3,5000
H0ID01253,56,100388
H0IL05096,138,230247
H0IL10120,61,108000
H0IL10302,756,6487023
H0IL11052,336,554614
H0IL14080,233,356290
H0IN02125,255,451030
H0IN02190,240,442075
H0IN03198,2,0
H0IN04170,130,212879
H0IN08114,154,284274
H0IN08144,1,2000
H0IN09070,134,1166586
H0KS03137,485,2256119
H0KS04051,195,326488
H0KY05015,189,397481
H0KY06104,260,468669
H0KY06138,2,-1290
H0LA01087,404,989364
H0LA02176,1,2000
H0LA02192,22,112155
H0LA03141,2,2500
H0MA09027,2,32
H0MA10082,101,210510
H0MD04095,1,2500
H0MI01088,33,16500
H0MI01104,1,1000
H0MI02094,180,296425
H0MI03126,16,11138
H0MN01045,11,13463
H0MN04049,124,192692
H0MO00019,1,5000
H0MO01066,94,210020
H0MO04086,96,153943
H0MO06073,250,420150
H0MO07113,192,355549
H0MS04120,142,217676
H0NC02059,115,97420
H0NC04147,1,1000
H0ND01026,173,303837
H0NH01217,181,960053
H0NH01225,2,6000
H0NH02181,271,419877
H0NJ10026,10,13800
H0NV01151,2,10000
H0NV03058,150,1193852
H0NY02085,49,29500
H0NY16010,5,5500
H0NY18065,41,81960
H0NY20079,2,0
H0NY20095,2,7500
H0NY23081,1,1000
H0NY29054,411,1070106
H0OH06189,292,470738
H0OH11056,2,59
H0OH12062,716,1491554
H0OH15076,2,5000
H0OH16097,386,647742
H0OH18077,179,278800
H0OK05114,67,138000
H0OR04081,7,612
H0PA03198,2,4000
H0PA03271,261,473204
H0PA04220,158,298372
H0PA06076,368,811797
H0PA07082,342,994562
H0PA08122,1,-2000
H0PA10078,124,227422
H0PA11167,1,3000
H0PA14096,4,4000
H0PA18055,1,1000
H0RI01073,74,161560
H0RI02139,92,179010
H0SC01279,8,15200
H0SC03077,80,152391
H0SC04257,69,130993
H0SC05031,149,256985
H0SD00054,244,444452
H0TN03254,127,197418
H0TN04195,27,51400
H0TN06257,216,367507
H0TN08246,43,66750
H0TX07055,130,220630
H0TX08087,2,3000
H0TX17104,260,464782
H0TX18219,4,7200
H0TX23086,798,4955824
H0TX27061,123,186289
H0TX30032,2,8
H0VA02084,10,16500
H0VA02118,111,237810
H0VA05095,15,15250
H0VA07042,1,-750
H0VA08040,8,7500
H0VA09055,112,235082
H0WA02080,143,285640
H0WA03161,150,299421
H0WA03187,85,156760
H0WA08046,199,328250
H0WI07051,239,553151
H0WI08075,29,18000
H0WV01072,260,397133
H0WV02104,46,80149
H2AL03032,194,306059
H2AR04083,1,1000
H2AZ04127,134,2898542
H2AZ07070,79,136398
H2AZ08078,7,5595
H2AZ08102,372,714481
H2AZ09019,381,724220
H2AZ09035,1,2500
H2CA00104,89,157310
H2CA00120,247,424473
H2CA02142,83,157919
H2CA06259,74,129842
H2CA08164,94,200061
H2CA11051,1,1000
H2CA15094,178,310040
H2CA16100,16,21790
H2CA20094,368,1043668
H2CA26109,1,2500
H2CA27198,2,3500
H2CA28113,239,421051
H2CA30143,210,452099
H2CA31125,253,436222
H2CA33048,83,153510
H2CA35100,173,818947
H2CA36439,236,531884
H2CA37023,165,288712
H2CA39078,220,432465
H2CA42023,5,6250
H2CA43245,59,128270
H2CA48095,1,250
H2CA50026,160,319536
H2CA52089,389,878781
H2CO00019,4,8000
H2CT01189,2,32
H2CT02112,139,296910
H2CT05131,139,241720
H2FL00292,90,125152
H2FL01100,40,55500
H2FL03056,25,62000
H2FL06109,47,70297
H2FL08055,292,2253910
H2FL08063,58,206580
H2FL11083,2,3685
H2FL13139,1,1000
H2FL14053,89,177320
H2FL17072,1,5000
H2FL20043,3,1500
H2FL20076,1,1375
H2FL22031,1,1000
H2FL22072,144,3010661
H2FL23021,58,116900
H2FL25018,168,365680
H2FL25034,6,561215
H2FL26057,1,5000
H2GA02031,189,339780
H2GA09150,95,157253
H2GA10117,1,4500
H2GA12121,92,157704
H2GA13012,207,451260
H2GU00033,14,30000
H2HI02110,58,143200
H2HI02508,81,160527
H2IA01055,368,2457167
H2IA05072,92,125319
H2ID02034,3,7000
H2IL01042,124,199097
H2IL02172,179,273740
H2IL08039,47,105597
H2IL08096,3,5000
H2IL10068,364,3478381
H2IL12130,1,1000
H2IL13120,466,803777
H2IL17071,371,626406
H2IL17170,1,5000
H2IL20042,590,1035184
H2IN05082,199,356200
H2IN09167,145,2081159
H2KY04121,31,48607
H2LA01055,8,417857
H2MA04073,166,309461
H2MA09072,67,131500
