committee_id,state,zipcode,transaction_date,transaction_amount
C00010603,MT,599231830,12282016,25
C00458000,CA,93401,12042016,10
C00010603,TX,750892850,12062016,25
C00286807,FL,32725,12202016,20
C00010603,CA,945883592,12072016,10
C00267849,NJ,085273128,12312016,20
C00010603,MN,554361088,12092016,100
C00458000,CA,94301,12252016,5
C00010603,NY,104714103,12142016,10
C00580100,WA,98053,12212016,-74
C00010603,MA,024601823,12282016,10
C00580100,WA,98053,12212016,-74
C00010603,WI,537192040,12162016,50
C00010603,PA,181041902,12282016,25
C00010603,FL,320861814,12052016,25
C00010603,WA,980345820,12212016,20
C00580100,AZ,85742,12012016,400
C00002972,IL,62704,12192016,180
C00002972,SD,577900506,12052016,500
C00010603,WA,982579351,12282016,10
C00458000,MD,21702,12312016,50
C00575795,GA,307423417,12092016,25
C00216184,CA,92101,12312016,50
C00010603,TX,787458032,12262016,10
C00010603,AK,996546716,12292016,10
C00002972,IL,627079567,12192016,100
C00010603,CA,921223205,12182016,50
C00458000,CO,80466,12112016,5
C00581199,CA,90405,12042016,500
C00425975,AR,722120000,12302016,20
C00423871,NC,28079,12012016,41
C00010603,CA,931171651,12042016,25
C00010603,FL,33139,12272016,10
C00458000,MA,,12112016,50
C00600833,NY,14807,12152016,100
C00230789,CA,91367,12162016,25
C00010603,CO,814359403,12132016,100
C00010603,TX,774892822,12032016,25
C00002972,VA,220320000,12082016,41
C00580100,NY,11743,12162016,269
C00010603,FL,327805918,12172016,10
C00217877,FL,33027,12302016,40
C00010603,TX,782305838,12262016,10
C00608398,LA,70360,12032016,1500
C00575795,MD,208601269,12212016,200
C00608133,OH,452431159,12012016,150
C00010603,FL,320732367,12172016,25
C00010603,NY,117532210,12182016,100
C00010603,NY,100272381,11302016,200
C00010603,TN,381116745,12282016,25
C00010603,NY,11372,12282016,10
C00580480,NY,10028,12302016,2700
C00461350,MD,208161308,12112016,100
C00575795,CA,957624549,12012016,100
C00010603,NY,100193988,12262016,50
C00002972,OH,430584970,12122016,50
C00002972,NC,280431569,12272016,30
C00458000,MD,209022917,12112016,1
C00010603,MD,207702959,12142016,25
C00010603,AL,361178474,12282016,25
C00010603,WA,986078813,12162016,10
C00010603,CA,954031778,12272016,10
C00010603,CA,902322406,12212016,50
C00010603,NY,100243401,12092016,100
C00002972,OH,432291101,12302016,60
C00010603,OR,972116238,12022016,25
C00033555,AZ,85340,12292016,5
C00010603,FL,339805556,12192016,10
C00010603,WA,981152929,12052016,25
C00010603,NY,117303203,12182016,20
C00010603,SC,294828701,12282016,50
C00588764,KY,420459117,12242016,2700
C00010603,NJ,080573981,12122016,25
C00608398,LA,70372,12052016,500
C00010603,MN,553279763,12282016,50
C00010603,MI,496842221,12282016,25
C00610212,MA,021163161,12152016,2700
C00461046,PA,193805507,12272016,1500
C00505776,IL,60462,12292016,300
C00010603,MD,207063381,12202016,25
C00010603,LA,708065938,12232016,25
C00010603,NC,279549376,12162016,10
C00580100,TX,78231,12202016,59
C00010603,CA,943064501,12062016,10
C00010603,GA,300874518,12212016,25
C00010603,VA,221012810,12022016,10
C00580480,NY,10021,12052016,2700
C00574889,MD,216201913,12282016,1000
C00438747,TX,77379,12202016,50
C00581199,AZ,85749,11302016,500
C00267849,CA,913023069,12312016,18
C00010603,CA,902654813,12062016,100
C00230789,CA,91367,12022016,20
C00010603,WA,983298783,12162016,100
C00035600,IA,503258375,12292016,100
C00010603,CO,805241517,12162016,10
C00010603,CA,928694368,12222016,25
C00574889,WA,982257710,12282016,0
C00010603,CA,925455446,12282016,25
C00608398,LA,70433,12012016,2000
C00010603,IL,604221728,12222016,10
C00010603,CA,958314119,12052016,7
C00458000,NY,11746,12182016,35
C00010603,AL,352051723,12012016,50
C00010603,VA,231853123,12182016,50
C00010603,WA,981222372,12162016,25
C00581199,CA,95403,12062016,29
C00580100,TX,77657,12012016,764
C00010603,CO,813212657,12062016,50
C00237198,PA,19002,12312016,-2300
C00000935,CA,941335449,12072016,1600
C00458000,FL,33541,12112016,100
C00010603,CA,931111326,12282016,10
C00010603,CO,801258703,12212016,200
C00580100,NC,27523,12132016,250
C00001305,VA,22701,12062016,225
C00010603,CT,068543517,12152016,25
C00325076,OH,43081,12312016,10
C00073056,ME,04088,12312016,25
C00580100,NJ,07822,12092016,250
C00010603,VA,223143805,12092016,25
C00010603,UT,844046825,12042016,25
C00580100,AL,36609,12172016,199
C00550491,MO,63101,12062016,30
C00010603,VA,222051305,12272016,100
C00580100,FL,33334,12222016,250
C00033555,NC,28601,12152016,5
C00010603,CO,802153008,12202016,10
C00010603,TX,784042415,12122016,100
C00010603,NJ,077462035,12062016,25
C00010603,CA,916044207,12172016,10
C00010603,CO,814162656,12032016,10
C00385526,NC,283060553,6132106,1500
C00010603,NY,100245314,12022016,10
C00010603,IL,601872803,12072016,25
C00575795,MD,208163146,12162016,100
C00406892,CA,95054,12312016,38
C00523225,MA,02482,12232016,120
C00010603,AK,997014423,12202016,100
C00010603,NC,286552669,12202016,25
C00010603,CT,065101823,12062016,25
C00010603,IL,605162052,12052016,10
C00010603,NY,105834729,12162016,50
C00010603,CA,927828602,12082016,10
C00581199,TX,78768,11302016,500
C00021121,NY,12309,12302016,15
C00010603,FL,335103506,12272016,50
C00394593,FL,33161,12152016,1000
C00010603,NC,286409258,12282016,250
C00010603,MS,390477508,12292016,25
C00010603,CA,935101493,12012016,10
C00010603,FL,330405102,12062016,10
C00010603,MN,550164914,12162016,25
C00010603,CA,917411952,12282016,50
C00010603,IL,601041713,12092016,10
C00010603,NY,136621208,12012016,10
C00458000,UT,84738,12042016,10
C00010603,CO,800278058,12172016,100
C00010603,AZ,857164908,12082016,50
C00010603,CA,945663224,12052016,10
C00073056,MD,212217031,12312016,20
C00021121,NY,12204,12052016,900
C00019331,WI,537045534,12292016,100
C00010603,IL,601153745,12232016,30
C00458000,NY,10024,12112016,3
