"","V1","V2","V3","V4","V5","V6","V7"
"1","H0AK00097",2014,2016,"C00525261","H","P",201860
"2","H0AL02087",2016,2016,"C00462143","H","P",201861
"3","H0AL02087",2016,2016,"C00493783","H","J",201862
"4","H0AL05049",2008,2016,"C00239038","H","P",201863
"5","H0AL05163",2016,2016,"C00464149","H","P",201864
"6","H0AL06088",2010,2016,"C00464222","H","P",201865
"7","H0AL07086",2016,2016,"C00458976","H","P",201866
"8","H0AL07094",2010,2016,"C00460410","H","P",201867
"9","H0AL07177",2012,2016,"C00482059","H","P",201868
"10","H0AR01083",2016,2016,"C00462374","H","P",201869
"11","H0AR01083",2016,2016,"C00493783","H","J",201870
"12","H0AR01091",2010,2016,"C00472126","H","P",201871
"13","H0AR01109",2010,2016,"C00475384","H","P",201872
"14","H0AR01125",2010,2016,"C00480905","H","P",201873
"15","H0AR02107",2014,2016,"C00468116","H","P",201874
"16","H0AR02131",2010,2016,"C00475764","H","P",201875
"17","H0AR03022",2010,2016,"C00465237","Q","U",201876
"18","H0AR03030",2010,2016,"C00468033","H","P",201877
"19","H0AR03055",2016,2016,"C00477745","H","P",201878
"20","H0AR03055",2016,2016,"C00497149","N","J",201879
"21","H0AS00018",2014,2016,"C00231092","H","P",201880
"22","H0AZ01259",2016,2016,"C00461806","H","P",201882
"23","H0AZ01259",2016,2016,"C00489971","N","J",201883
"24","H0AZ01259",2016,2016,"C00528836","N","J",201884
"25","H0AZ01283",2010,2016,"C00474940","H","P",201885
"26","H0AZ01325",2014,2016,"C00550012","H","P",201886
"27","H0AZ01333",2010,2016,"C00481267","H","P",201887
"28","H0AZ03321",2014,2016,"C00474916","H","A",201888
"29","H0AZ03362",2012,2016,"C00489971","N","J",201889
"30","H0AZ03404",2010,2016,"C00478735","H","P",201890
"31","H0AZ03412",2010,2016,"C00480053","H","P",201891
"32","H0AZ04485",2010,2016,"C00472068","H","P",201892
"33","H0AZ04493",2010,2016,"C00474007","H","P",201893
"34","H0AZ04501",2014,2016,"C00559179","H","P",201894
"35","H0AZ05078",2010,2016,"C00462432","H","P",201895
"36","H0AZ05102",2010,2016,"C00471912","H","P",201896
"37","H0AZ05128",2010,2016,"C00481028","H","P",201897
"38","H0AZ06043",2010,2016,"C00472746","H","P",201898
"39","H0AZ07017",2010,2016,"C00462309","H","P",201899
"40","H0AZ08015",2012,2016,"C00489971","N","J",201900
"41","H0CA00082",2012,2016,"C00479188","H","P",201901
"42","H0CA00108",2010,2016,"C00480624","H","P",201902
"43","H0CA03078",2016,2016,"C00519900","H","J",201904
"44","H0CA03078",2016,2016,"C00461061","H","P",201903
"45","H0CA03110",2010,2016,"C00483008","H","P",201905
"46","H0CA05073",2012,2016,"C00478651","H","P",201906
"47","H0CA08069",2014,2016,"C00515932","N","U",201908
"48","H0CA08069",2014,2016,"C00465914","N","U",201907
"49","H0CA08069",2014,2016,"C00554337","H","P",201909
"50","H0CA10073",2016,2016,"C00460162","H","A",201910
"51","H0CA10073",2016,2016,"C00554709","H","P",201911
"52","H0CA10115",2009,2016,"C00461392","H","P",201912
"53","H0CA10131",2010,2016,"C00461947","H","P",201913
"54","H0CA10149",2016,2016,"C00462697","H","P",201914
"55","H0CA10164",2009,2016,"C00463224","H","P",201915
"56","H0CA10172",2014,2016,"C00463257","H","A",201916
"57","H0CA10172",2014,2016,"C00549030","H","P",201917
"58","H0CA11303",2010,2016,"C00463059","H","P",201918
"59","H0CA11337",2016,2016,"C00613083","H","P",211035
"60","H0CA11337",2016,2016,"C00553289","H","A",201919
"61","H0CA11352",2014,2016,"C00545509","H","P",201920
"62","H0CA12103",2010,2016,"C00490425","H","P",201921
"63","H0CA13093",2014,2016,"C00481564","H","P",201922
"64","H0CA15148",2016,2016,"C00351379","H","P",201923
"65","H0CA15171",2014,2016,"C00458117","H","P",201924
"66","H0CA16104",2010,2016,"C00484139","H","P",201925
"67","H0CA17169",2010,2016,"C00481077","H","P",201926
"68","H0CA17185",2014,2016,"C00522367","H","P",201927
"69","H0CA19082",2014,2016,"C00511451","H","A",201928
"70","H0CA19082",2014,2016,"C00559419","H","P",201929
"71","H0CA19173",2016,2016,"C00473272","H","P",201930
"72","H0CA19173",2016,2016,"C00496018","N","J",201931
"73","H0CA20080",2010,2016,"C00459727","H","P",201932
"74","H0CA20098",2010,2016,"C00469312","H","P",201933
"75","H0CA20106",2010,2016,"C00474437","H","P",201934
"76","H0CA23043",2014,2016,"C00520742","H","P",201935
"77","H0CA23100",2010,2016,"C00473124","H","P",201936
"78","H0CA23159",2010,2016,"C00486902","H","P",201937
"79","H0CA26111",2010,2016,"C00485318","H","P",201938
